"Circo","Inscrits","Votants","Blancs","Nuls","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"47-01",88218,71182,1310,550,346,608,102,3239,12860,4049,2255,16677,15239,13192,755
"47-02",77018,62144,1185,583,357,495,118,3058,10969,3314,2037,16017,11934,11330,747
"47-03",75695,60800,1165,511,341,557,107,3110,10999,3276,1791,14577,12080,11496,790
"48-01",59508,49559,854,558,294,354,93,2197,10986,2733,1764,9097,10463,9483,683
"49-01",83953,68496,1209,464,437,519,98,2987,16527,5176,445,8798,18757,12372,707
"49-02",90343,74359,1579,481,599,533,124,3484,15832,5537,537,10020,20630,14139,864
"49-03",70395,58144,1228,497,551,352,113,3380,13322,2947,460,13908,11447,9172,767
"49-04",74248,61790,1269,517,497,408,114,3601,14931,3270,503,13192,13776,8913,799
"49-05",77305,63809,1249,472,538,525,97,3638,15110,3506,448,8973,18788,9687,778
"49-06",95358,80469,1946,702,745,611,142,4862,18260,4873,656,12805,20990,12857,1020
"49-07",77823,65320,1289,529,493,491,115,3369,14906,4244,434,10239,17297,11153,761
"50-01",87002,71261,1345,542,617,431,125,3991,15182,4158,497,15127,17368,10952,926
"50-02",95573,78437,1428,699,737,544,146,4934,19636,4180,699,14456,18477,11428,1073
"50-03",107881,88755,1675,621,722,593,198,4870,18966,5077,767,18947,20819,14305,1195
"50-04",88648,70449,1191,423,519,482,154,3307,11208,5862,561,13206,18134,14450,952
"51-01",72050,55826,799,297,408,480,102,2811,11409,3140,348,13040,12971,9523,498
"51-02",73074,56980,816,356,375,475,88,2840,13114,3059,423,12664,13337,8938,495
"51-03",80714,63037,1068,326,462,564,116,3712,13922,2652,536,18081,11887,9085,626
"51-04",78830,61702,1044,419,462,493,109,3555,12579,2918,516,17091,12319,9621,576
"51-05",77025,62887,1040,498,469,429,110,3978,14056,1914,528,21597,10444,7257,567
"52-01",72475,57474,1155,471,498,420,117,3477,11362,2598,682,15739,11274,8958,723
"52-02",61673,47905,965,348,428,393,81,2940,8228,1694,444,18288,7164,6422,510
"53-01",72670,60368,1203,465,501,399,94,2921,14977,3620,415,9436,16164,9488,685
"53-02",77756,65352,1510,541,471,430,107,3489,18354,3496,533,10075,16522,9062,762
"53-03",71899,60213,1398,584,655,353,128,3697,15441,3131,577,10954,14252,8248,795
"54-01",79265,63046,948,335,357,575,122,2852,12252,5039,453,10481,16123,12849,660
"54-02",68590,54065,750,264,275,534,113,2126,11477,4284,370,7970,15409,10013,480
"54-03",82832,60951,1076,381,521,534,108,2640,7647,3113,465,15710,12152,15754,850
"54-04",98018,78368,1458,488,741,640,120,4404,12484,4008,794,24399,14659,13228,945
"54-05",78690,63928,1097,416,528,601,144,3841,10276,3576,596,19544,12221,10342,746
"54-06",87696,68138,1140,477,526,574,126,3468,8518,3606,558,20090,13139,15114,802
"55-01",77365,62394,1092,488,491,541,126,4000,10675,2865,766,19725,11690,9094,841
"55-02",60269,47385,815,339,395,315,111,2802,8612,2053,528,14877,9023,6926,589
"56-01",105402,88673,1396,406,416,570,168,3637,22572,6394,714,11225,27188,13148,839
"56-02",104343,87541,1422,683,524,631,147,4036,19093,6522,955,14430,22842,15123,1133
"56-03",90733,77400,1390,737,625,511,149,4027,14349,4718,874,16000,20363,12474,1183
"56-04",105130,88816,1787,639,718,592,172,4652,17886,5436,820,18351,21685,14859,1219
"56-05",80730,63381,1167,363,411,436,107,2369,11611,5694,512,9180,18581,12229,721
"56-06",90674,75088,1356,718,597,509,158,3690,12389,5604,945,13741,19980,14187,1214
"57-01",91406,69768,1316,359,547,692,111,3058,11070,4043,494,17667,15685,13990,736
"57-02",76507,59115,1033,333,359,608,125,3157,11833,3456,479,13318,13997,9867,550
"57-03",75312,57552,876,319,334,532,110,2873,10746,3673,467,12845,14170,9986,621
"57-04",81516,65655,1294,387,672,623,146,4994,12508,2582,845,21566,11131,8124,783
"57-05",74010,57338,1220,445,593,588,132,3949,10176,2296,1028,18203,10347,7551,810
"57-06",70169,50516,967,336,469,574,110,2840,7085,2302,488,16574,8312,9799,660
"57-07",90402,69928,1422,395,704,701,145,4367,10585,3239,707,22883,12315,11547,918
"57-08",92473,66462,1405,395,597,831,115,2862,7377,3913,504,18229,12995,16261,978
"57-09",99476,77436,1613,429,654,828,173,4425,14623,3976,751,17267,18786,12992,919
"58-01",76928,58259,1335,362,429,445,114,2920,9389,3696,584,13637,13219,11446,683
"58-02",82498,65699,1198,649,573,513,120,3523,11382,4156,779,16178,14135,11631,862
"59-01",61682,45487,602,305,285,474,69,1243,6043,4649,208,6894,10702,13556,457
"59-02",86550,66304,1056,419,411,719,111,2280,8738,5828,351,11678,15483,18592,638
"59-03",94050,69250,1182,529,640,558,101,3213,9486,3176,488,24608,10739,13854,676
"59-04",99215,78576,1167,493,438,553,155,3485,18249,4927,449,13634,20464,13928,634
"59-05",99888,80993,1576,490,559,605,157,4404,13364,4611,457,21834,17140,15103,693
"59-06",89060,74761,1194,428,451,493,108,4010,17385,3803,483,16583,17764,11560,499
"59-07",72350,56043,913,374,301,546,98,2503,12013,3168,264,11021,12590,11805,447
"59-08",67704,45538,818,394,352,619,75,1559,4834,2975,217,11074,9047,13122,452
"59-09",91893,69878,887,335,305,556,99,2416,20736,4330,377,9493,17196,12619,529
"59-10",81911,59179,1029,402,408,575,87,2925,10441,3032,374,15515,11436,12364,591
"59-11",92042,69871,1071,473,510,576,124,3131,11516,5326,419,15402,15082,15554,687
"59-12",93593,72524,1290,579,672,476,114,3961,10910,2910,533,25451,11237,13741,650
"59-13",89193,67296,1628,512,729,709,117,3124,7009,3740,435,21483,10873,16051,886
"59-14",98767,80458,1523,658,721,561,153,4770,13785,3545,715,25531,14282,13291,923
"59-15",95832,78487,1386,669,737,513,122,4522,14615,3588,639,22788,14747,13247,914
"59-16",82976,63553,1199,505,650,412,111,2634,5747,2997,374,22920,9238,16138,628
"59-17",73591,56797,1004,416,432,457,104,2562,7925,2838,327,18212,9685,12300,535
"59-18",91651,70785,1358,423,702,562,130,4309,11665,2843,441,24584,11721,11401,646
"59-19",79065,60741,1060,437,585,460,87,2481,5726,2935,300,23318,8731,14078,543
"59-20",81085,59254,1033,503,587,443,110,2816,6525,2538,319,21696,9102,12987,595
"59-21",82570,61820,1084,388,500,583,106,2897,9998,2772,365,18311,11464,12824,528
"60-01",83057,66236,1211,540,665,542,117,3462,10227,2952,508,22370,12260,10558,824
"60-02",88723,72046,1290,518,681,565,140,4181,12279,2945,586,24588,12630,10866,777
"60-03",73830,57369,1067,486,456,890,106,2945,7373,3028,404,16511,10476,13010,617
"60-04",92482,75001,1168,353,368,803,123,3880,18532,3229,609,18405,16260,10701,570
"60-05",72727,57679,1034,336,458,592,93,3088,9613,2787,452,16875,11802,9940,609
"60-06",75206,60269,1080,363,540,531,116,3100,10895,2568,434,17998,11809,10214,621
"60-07",76060,60231,1190,402,509,743,132,3280,7864,3025,421,18429,11445,12126,665
"61-01",69542,56906,1101,393,477,346,112,3091,13868,3177,503,11988,12806,8317,727
"61-02",67550,54969,943,340,453,418,115,3132,14621,2285,488,14441,10022,7069,642
"61-03",71642,58519,1132,428,583,527,123,3421,12595,3197,489,13103,12987,9156,778
"62-01",104255,86888,1636,711,842,592,145,4806,15515,3571,688,29692,15177,12604,909
"62-02",85270,69313,1226,578,612,500,122,3470,12082,4317,533,16303,16214,12648,708
